_id,codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel,vento_rajada,radiacao,precipitacao
ObjectId(58f3b7c40d77803ba6787f3f),A325,23/08/2016,8,24.9,25.1,24.8,69,70,69,18.9,19.1,18.9,990.2,990.2,989.8,0,78,4.3,-2.41,0
ObjectId(58f3b7c40d77803ba6787f40),A325,23/08/2016,6,25.1,25.2,25,69,70,68,19,19.3,18.8,989.6,989.7,989.2,0.2,83,9.4,-2.46,0
ObjectId(58f3b7c40d77803ba6787f41),A325,23/08/2016,21,32.7,34,32.7,28,28,26,11.8,12,11.6,986.5,986.5,986.2,0,128,5.1,44.14,0
ObjectId(58f3b7c40d77803ba6787f42),A325,23/08/2016,7,25.1,25.1,25,69,69,68,18.9,19,18.8,989.8,989.8,989.6,0,74,7.7,-2.28,0
ObjectId(58f3b7c40d77803ba6787f43),A325,23/08/2016,3,24.7,24.9,24.7,72,72,70,19.4,19.4,19,989.8,989.9,989.4,1.7,52,9.4,-3.54,0
ObjectId(58f3b7c40d77803ba6787f44),A325,23/08/2016,17,34.2,34.8,32.5,29,34,29,13.9,15.3,13.8,986.9,988,986.9,0,107,5.5,2721,0
ObjectId(58f3b7c40d77803ba6787f45),A325,23/08/2016,10,24.8,25,24.7,66,67,66,18.1,18.3,18,991.2,991.2,990.7,1.5,87,7.6,147,0
ObjectId(58f3b7c40d77803ba6787f46),A325,23/08/2016,22,31.1,32.7,31.1,30,30,28,11.5,11.9,11.5,987.1,987.1,986.5,0,76,0,-3.54,0
ObjectId(58f3b7c40d77803ba6787f47),A325,23/08/2016,14,29.5,29.7,28.6,47,49,47,16.9,17.5,16.7,990.6,991.1,990.6,0.6,134,6.6,1339,0
ObjectId(58f3b7c40d77803ba6787f48),A325,23/08/2016,4,24.9,24.9,24.7,73,73,72,19.7,19.7,19.4,989.4,989.8,989.3,0.2,53,8.2,-3.38,0
ObjectId(58f3b7c40d77803ba6787f49),A325,23/08/2016,1,25.4,26.6,25.4,65,65,58,18.4,18.4,17.7,989,989,988,4.7,53,12.1,-3.54,0
ObjectId(58f3b7c40d77803ba6787f4a),A325,23/08/2016,20,34,34.7,34,26,27,26,11.8,12.7,11.8,986.3,986.3,985.9,0.5,130,6.7,731.4,0
ObjectId(58f3b7c40d77803ba6787f4b),A325,23/08/2016,2,24.8,25.4,24.8,70,70,65,19,19,18.4,989.4,989.4,989,0.2,58,11.8,-3.54,0
ObjectId(58f3b7c40d77803ba6787f4c),A325,23/08/2016,19,34.5,35.1,34.1,26,28,26,12.3,13.3,12.3,985.9,986.2,985.8,1.3,114,7.4,1646,0
ObjectId(58f3b7c40d77803ba6787f4d),A325,23/08/2016,15,32.1,32.1,29.3,40,47,40,16.8,17.5,16.1,989.3,990.6,989.3,1.6,152,6.6,2634,0
ObjectId(58f3b7c40d77803ba6787f4e),A325,23/08/2016,13,29.2,29.5,27.1,48,58,48,17.1,18.4,17.1,991.1,991.6,991.1,0.7,117,6.1,2617,0
ObjectId(58f3b7c40d77803ba6787f4f),A325,23/08/2016,18,34.8,35.2,33.6,27,31,27,13.2,14.2,12.9,986.2,986.9,986.2,1.1,152,6.8,2472,0
ObjectId(58f3b7c40d77803ba6787f50),A325,23/08/2016,12,27.1,27.1,25.4,58,64,58,18.2,18.5,17.8,991.6,991.9,991.6,0.7,97,6.1,942.8,0
ObjectId(58f3b7c40d77803ba6787f51),A325,24/08/2016,16,34.6,34.8,32.7,26,29,26,12.1,13.2,11.8,988.5,989.7,988.5,2,127,9.3,3309,0
ObjectId(58f3b7c40d77803ba6787f52),A325,24/08/2016,11,27.5,27.5,25.5,54,60,54,17.2,17.4,16.8,992,992,991.7,2.1,96,8.2,973.3,0
ObjectId(58f3b7c40d77803ba6787f53),A325,24/08/2016,10,25.6,25.6,24.7,60,66,60,17.1,17.9,17.1,991.7,991.7,991,1.3,85,7.3,244.4,0
ObjectId(58f3b7c40d77803ba6787f54),A325,24/08/2016,22,30.8,32.2,30.8,29,29,26,10.9,11,10.3,987.9,987.9,987.4,0,92,2,-3.54,0
ObjectId(58f3b7c40d77803ba6787f55),A325,24/08/2016,18,35.3,35.3,33.5,23,26,23,11.3,12.1,10.6,986.7,987.4,986.7,1,140,9.3,2283,0
ObjectId(58f3b7c40d77803ba6787f56),A325,24/08/2016,14,31.6,32.6,30.1,34,39,32,13.8,15.6,13.3,990.7,991.6,990.7,2.1,139,8.4,2638,0
ObjectId(58f3b7c40d77803ba6787f57),A325,24/08/2016,3,24.9,25.3,24.9,72,72,69,19.4,19.4,19.2,990.3,990.4,990.2,0,65,6.2,-3.54,0
ObjectId(58f3b7c40d77803ba6787f58),A325,24/08/2016,15,33.4,33.7,31.5,29,34,29,12.8,14.2,12.7,989.7,990.7,989.7,3.3,128,9.2,2764,0
ObjectId(58f3b7c40d77803ba6787f59),A325,24/08/2016,23,28.3,30.8,28.3,33,33,29,10.7,11.1,10.7,988.5,988.5,987.9,0,58,0,-3.54,0
ObjectId(58f3b7c40d77803ba6787f5a),A325,24/08/2016,12,29,29.2,27.1,45,54,45,15.8,17.3,15.8,992.2,992.2,992,5,118,10.5,2296,0
ObjectId(58f3b7c40d77803ba6787f5b),A325,24/08/2016,8,23.9,24.1,23.8,75,76,75,19.1,19.4,19.1,990.2,990.2,990,0.1,68,4.6,-3.54,0
ObjectId(58f3b7c40d77803ba6787f5c),A325,24/08/2016,4,24.8,24.9,24.7,73,73,72,19.5,19.6,19.4,989.5,990.3,989.5,0.3,43,5.1,-3.54,0
ObjectId(58f3b7c40d77803ba6787f5d),A325,24/08/2016,21,32.2,33.5,32.1,26,26,24,10.3,10.3,9.9,987.4,987.4,987.1,0,124,6.2,53.33,0
ObjectId(58f3b7c40d77803ba6787f5e),A325,24/08/2016,13,30.5,31.7,29,38,45,38,14.7,16.6,14.7,991.5,992.2,991.5,2.2,122,10.5,2316,0
ObjectId(58f3b7c40d77803ba6787f5f),A325,24/08/2016,9,24.7,24.7,23.7,66,75,66,17.9,19.1,17.9,991,991,990.2,0.7,76,6.3,13.86,0
ObjectId(58f3b7c40d77803ba6787f60),A325,24/08/2016,2,25.3,26,25.3,69,69,65,19.2,19.2,18.8,990.2,990.2,989.9,0.2,35,9.2,-3.54,0
ObjectId(58f3b7c40d77803ba6787f61),A325,24/08/2016,20,33.5,34.8,33.4,24,24,23,10,10.7,10,987.1,987.1,986.7,1.7,132,7.8,671.8,0
ObjectId(58f3b7c40d77803ba6787f62),A325,24/08/2016,5,24.7,24.8,24.7,73,73,72,19.5,19.5,19.4,989.7,989.7,989.4,0,59,5.1,-3.54,0
ObjectId(58f3b7c40d77803ba6787f63),A325,24/08/2016,0,27.1,28.4,27.1,58,58,51,18,18,17.3,989.2,989.3,988.3,3.2,51,11.7,-3.54,0
ObjectId(58f3b7c40d77803ba6787f64),A325,24/08/2016,19,34.7,35.3,33.8,23,25,23,10.8,11.6,10.2,986.7,986.8,986.6,2.6,106,10,1609,0
ObjectId(58f3b7c40d77803ba6787f65),A325,24/08/2016,17,34.5,34.9,33.6,26,27,24,11.9,12.5,10.9,987.4,988.5,987.4,2.1,111,10.1,2871,0
ObjectId(58f3b7c40d77803ba6787f66),A325,24/08/2016,1,26,27.1,26,65,65,58,18.8,18.8,18,990,990,989.2,1.2,29,11.3,-3.28,0
ObjectId(58f3b7c40d77803ba6787f67),A325,24/08/2016,6,24.4,24.7,24.4,74,74,73,19.5,19.5,19.4,989.6,989.7,989.5,0,65,2.2,-3.53,0
ObjectId(58f3b7c40d77803ba6787f68),A325,24/08/2016,7,24.1,24.4,24.1,75,75,74,19.4,19.5,19.4,990,990,989.6,0,78,2.5,-3.53,0
ObjectId(58f3b7c40d77803ba6787f69),A325,25/08/2016,4,24.2,24.8,24.2,73,73,70,19.1,19.1,18.9,989,989,988.8,0.8,67,8.9,-3.54,0
ObjectId(58f3b7c40d77803ba6787f6a),A325,25/08/2016,2,25.1,26.1,25.1,66,66,57,18.4,18.4,16.9,989.3,989.3,989,4.8,59,10.9,-3.54,0
ObjectId(58f3b7c40d77803ba6787f6b),A325,25/08/2016,0,27.5,29.4,27.5,48,48,33,15.5,15.5,10.8,989,989.1,988.5,5.9,48,11.5,-3.54,0
ObjectId(58f3b7c40d77803ba6787f6c),A325,25/08/2016,8,23.3,23.4,23.3,69,74,69,17.3,18.3,17.3,990.2,990.2,989.5,0.4,75,6,-3.54,0
ObjectId(58f3b7c40d77803ba6787f6d),A325,25/08/2016,16,33.4,33.6,31.8,20,24,17,7.2,9.5,5.1,987.7,988.9,987.7,1.6,141,8.5,3362,0
