pressao_atm_max,pressao_atm_min,chuva_mm,temp_ar_max,temp_ar_min,umid_relat_max,umid_relat_min,rad_solar_total,temp_max,temp_min,temp_ar_media,umid_relat_media,vento_veloc,rad_solar_media,et0
619.8749,599.8443,0,24.735,24.334,87.93,86.27,1480.63,22.37975,22.19678,24.52547,87.35033,0.31507,4.112861,0.005661
619.9054,599.8229,0,24.382,23.722,90.014,87.746,1428.123,22.27114,21.8498,24.02794,88.83997,0.116181,3.967008,0.003184
600.9005,599.7253,0,24.774,23.742,89.104,83.564,1530.509,21.87601,21.55434,24.14933,86.06335,0.981875,4.251415,0.016626
600.9341,599.8871,0,25.917,24.716,83.384,76.226,1918.546,22.07961,21.20345,25.26437,80.00718,1.748333,5.329295,0.036906
620.2595,599.7497,0,27.728,25.646,76.365,68.246,2381.864,22.03649,21.0042,26.73944,72.19024,1.783265,6.616288,0.052982
620.3389,599.765,0,30.291,27.018,70.949,57.897,2699.46,22.15374,20.76402,28.65432,64.79466,1.645833,7.498499,0.064425
620.3999,599.6978,0,31.56,28.85,62.523,52.703,2543.965,21.46025,20.03917,30.01203,57.17723,1.624028,7.06657,0.077813
620.1649,599.7375,0,33.794,30.58,55.994,43.33,3226.893,21.3403,19.04276,32.09611,49.96494,1.297292,8.963592,0.078255
620.174,599.765,0,35.173,32.199,47.804,38.131,3569.178,20.71204,18.49366,33.72522,42.81272,1.837084,9.914383,0.123033
620.4579,599.7802,0,36.001,33.318,41.414,34.917,3071.366,19.85945,17.80853,34.92981,38.08667,1.920902,8.531572,0.139294
620.5677,599.7527,0,36.929,33.974,39.185,33.453,2807.209,19.83167,17.56585,35.43299,36.14812,2.00243,7.797804,0.149321
620.2198,599.7497,0,37.287,34.894,35.919,32.142,2419.101,18.82097,16.89518,36.1371,33.72501,1.367083,6.719725,0.110819
620.2015,599.8871,0,36.919,34.786,35.41,30.562,1949.75,18.27428,16.36275,36.15263,32.24332,1.448403,5.415971,0.118149
620.3755,599.8077,0,36.312,32.488,43.92,31.256,1614.934,18.66904,16.02629,34.35732,37.11332,2.107153,4.485927,0.148783
620.4976,599.7711,0,32.628,30.541,49.693,43.76,1532.48,19.21351,18.65571,31.48519,47.54797,2.905209,4.256888,0.112796
620.2747,599.71,0,30.541,29.24,52.791,49.361,1555.127,18.80213,18.34062,29.88525,50.52226,2.292291,4.319798,0.087496
620.348,599.8412,0,29.27,27.97,62.404,52.759,1567.033,20.13553,18.62852,28.64881,56.94557,1.847708,4.35287,0.063873
620.3969,599.7619,0,27.958,26.678,71.344,62.433,1615.963,21.09365,20.11457,27.30449,67.03248,2.615209,4.488787,0.059258
620.29,599.7344,0,26.699,25.878,79.023,71.402,1625.075,21.9862,21.10274,26.27191,74.85677,1.905694,4.514097,0.036297
620.1801,599.7955,0,25.897,25.474,84.402,79.048,1624.536,22.6983,21.98362,25.62336,82.23422,1.820694,4.512599,0.024881
620.3328,599.7344,0,25.537,25.316,85.964,84.367,1614.307,22.86195,22.66542,25.45296,85.13517,1.565417,4.484185,0.019058
620.2869,599.7497,0,25.306,25.146,86.617,85.934,1557.089,22.87066,22.73109,25.24074,86.25866,1.152153,4.325246,0.014417
620.3022,599.7802,0,25.376,25.126,86.617,85.402,1519.517,22.87066,22.71562,25.26561,86.06426,0.508264,4.220881,0.008385
620.116,599.7802,0,25.436,25.134,86.482,85.076,1495.04,22.81823,22.7021,25.33957,85.56604,0.790416,4.15289,0.011639
619.8107,599.7955,0,25.175,24.896,87.632,86.476,1461.523,22.88465,22.63874,25.05616,87.18398,1.135417,4.059787,0.013278
600.235,599.7344,0,24.954,24.494,88.365,87.076,1448.841,22.695,22.44983,24.75213,87.57585,0.676736,4.024559,0.009085
600.931,599.7497,0,24.986,24.324,89.754,88.336,1467.07,23.00289,22.38318,24.52273,89.14039,0.237014,4.075195,0.006169
619.9695,599.7802,0,27.56,24.995,88.684,69.945,2045.382,23.44802,21.36814,26.05943,81.78053,1.786251,5.681617,0.035361
600.9707,599.7283,0,29.529,27.438,70.613,59.404,2639.695,21.94912,20.62469,28.45564,64.56172,2.48,7.332486,0.090323
600.9646,599.8382,0,30.58,28.31,63.587,54.315,2459.544,21.40665,20.11346,29.4014,59.51342,2.542431,6.832067,0.106168
620.3358,599.7741,0,32.357,29.75,57.946,48.439,3214.267,21.04317,19.74203,31.06701,53.05168,2.517013,8.928519,0.126676
620.4731,599.7344,0,33.787,31.7,50.604,42.109,3333.729,21.02588,18.67747,32.90561,45.96415,2.321319,9.260357,0.139949
620.1679,599.7375,0,35.363,33.248,46.368,37.293,3371.581,20.36841,18.20262,34.46177,40.72575,1.764584,9.365503,0.123901
620.5189,599.6978,0,36.57,33.816,42.375,34.369,3233.788,20.11109,17.67735,35.25557,37.57372,2.109652,8.982744,0.153435
620.3602,599.7619,0,36.609,34.435,38.489,33.404,2457.489,19.68566,16.99561,35.44009,35.46949,1.894652,6.826358,0.142959
620.6319,599.7222,0,36.628,34.384,37.806,32.125,2248.623,18.83924,16.69066,35.55605,34.33875,1.74868,6.246174,0.1352
601.1783,599.7924,0,36.51,35.144,34.66,31.718,1965.615,18.04776,16.52422,35.94722,32.90771,1.815139,5.460042,0.142907
620.6594,599.7497,0,35.513,32.457,45.8,33.14,1593.98,19.31356,16.53423,34.29674,36.80198,2.125972,4.427722,0.150496
620.2656,599.7283,0,32.488,30.58,53.166,45.833,1542.537,19.99006,19.25692,31.52669,49.45361,2.751458,4.284824,0.105214
620.5342,599.9329,0,30.57,29.25,56.544,53.099,1564.56,20.07233,19.71583,29.78732,55.43862,2.369514,4.346001,0.080456
620.4091,599.765,0,29.279,28.29,61.125,56.483,1574.905,20.11502,19.60727,28.80071,58.31071,2.040902,4.374736,0.066483
600.9554,599.7802,0,28.31,27.136,67.8,61.189,1596.171,20.72905,20.11239,27.75946,64.14091,2.27625,4.433808,0.059843
620.3358,599.8107,0,27.158,26.288,77.402,67.822,1600.795,22.06511,20.68294,26.59401,72.52448,1.702362,4.446653,0.037012
620.3724,599.768,0,26.318,25.746,83.98,77.422,1628.02,22.87982,22.0403,25.97292,81.57799,2.345693,4.522277,0.030371
620.3999,599.7924,0,25.766,25.626,84.754,83.941,1619.543,22.95397,22.8104,25.70726,84.32473,1.917291,4.498731,0.022898
620.0305,599.7222,0,25.736,25.355,86.781,84.191,1590.639,23.03513,22.84866,25.57075,85.23437,1.638889,4.41844,0.019544
619.8779,599.7802,0,25.384,25.114,87.178,86.496,1547.678,23.06743,22.76177,25.26323,86.87091,1.616876,4.299105,0.017216
600.9493,599.7344,0,25.165,24.864,88.386,86.73,1560.955,22.90719,22.76429,25.00915,87.60045,1.992292,4.335986,0.018418
620.2503,599.8107,0,24.884,24.716,88.238,87.031,1556.653,22.80161,22.52908,24.80246,87.67468,1.659027,4.324036,0.016308
620.2289,599.7344,0,24.774,24.654,89.102,87.785,1523.623,22.79354,22.58942,24.72404,88.30399,1.421528,4.232286,0.01408
620.1191,599.765,0,24.864,24.523,89.625,88.334,1585.05,22.88818,22.70735,24.67765,89.19245,1.076181,4.402916,0.014803
620.1679,599.826,0,25.856,24.844,88.449,84.476,1865.238,23.2304,22.80505,25.40087,86.40966,1.606944,5.181216,0.024751
620.2137,599.8321,0,29.35,25.766,84.422,66.945,2620.94,23.72259,22.31168,27.14699,78.29022,1.917082,7.280389,0.045754
620.1496,599.7344,0,31.17,28.451,69.77,54.904,3124.563,22.86965,20.47381,29.65018,62.75278,2.13875,8.679343,0.08668
620.3236,599.707,0,32.988,29.76,59.292,45.464,2874.826,21.63294,19.21604,31.10249,53.10444,1.900973,7.985628,0.099398
620.3389,599.7192,0,33.816,31.138,51.651,41.632,2889.43,20.28475,18.52122,32.05898,47.42894,2.068056,8.026196,0.120952
620.4976,599.7527,0,35.013,32.457,47.231,39.945,3179.032,20.48116,18.8186,33.6715,43.24866,2.13375,8.830645,0.137879
620.2015,599.8351,0,35.714,33.318,44.189,36.722,3123.992,20.47643,18.18433,34.3758,40.53722,1.683542,8.677756,0.118639
620.0031,599.7497,0,36.469,33.896,41.191,34.011,2513.73,20.42907,17.75824,35.04893,37.69046,1.392014,6.982583,0.104781
620.4335,599.6856,0,36.261,34.066,37.94,33.58,2018.956,19.06208,16.98929,35.20995,35.37495,1.634583,5.608212,0.124255
620.2473,599.8107,0,36.261,34.923,35.138,31.442,1920.707,17.60942,16.27332,35.47041,33.27129,1.75875,5.335298,0.137138
620.3846,599.9084,0,36.142,34.205,36.14,31.782,1708.47,17.38681,16.52973,35.14361,34.09094,2.050486,4.745751,0.154132
620.1679,599.7802,0,34.197,30.35,53.775,36.273,1542.231,19.95232,17.13173,31.80647,47.64631,3.1325,4.283975,0.119037
620.2625,599.7711,0,30.34,28.68,60.203,53.837,1565.078,20.34074,19.93886,29.33833,57.89812,2.244168,4.347439,0.072536
620.58,599.765,0,28.65,27.47,66.945,59.562,1597.636,20.84297,19.97957,28.0507,63.74052,1.590555,4.437878,0.047973
620.4731,599.7344,0,27.49,26.658,71.609,66.602,1616.059,21.13072,20.66299,27.07089,68.75176,1.285069,4.489052,0.034873
620.3144,599.8107,0,26.678,25.846,77.949,71.636,1630.75,21.74633,21.11867,26.25855,74.80792,1.577222,4.529861,0.032095
620.2289,599.7466,0,25.846,25.286,84.054,77.972,1650.789,22.48698,21.72429,25.49025,81.6701,1.577222,4.585524,0.023307
620.2869,599.7497,0,25.426,25.294,85.516,84.054,1631.152,22.75988,22.48249,25.37336,84.87539,1.139375,4.530978,0.015707
620.1008,599.7497,0,25.566,25.184,86.632,84.966,1625.237,22.88593,22.73276,25.40254,85.5649,1.695138,4.514547,0.019487
620.2015,599.8107,0,25.204,24.915,88.512,86.636,1577.087,23.13411,22.80836,25.05579,88.133,1.103333,4.380798,0.012284
619.9481,599.7497,0,25.246,24.954,88.625,87.656,1572.394,23.19211,22.86771,25.1091,88.16553,1.390694,4.36776,0.01422
600.8608,599.7009,0.254,25.044,24.453,93.857,88.621,1582.416,23.42649,22.99693,24.84202,90.64662,1.27868,4.3956,0.010925
620.2228,599.8565,0,24.535,24.064,95.324,93.859,1599.963,23.66803,23.28132,24.34482,94.84922,0.297153,4.44434,0.003442
600.8883,599.7497,0,24.243,24.034,96.164,95.292,1548.494,23.59189,23.26851,24.1495,95.74771,0.042917,4.301371,0.003917
600.9615,599.7344,0,24.946,24.194,95.746,91.08,1647.578,23.68992,23.28256,24.60854,93.47101,0.548333,4.576607,0.007386
620.1221,599.768,0,26.718,24.946,91.3,82.168,2281.421,24.60594,22.93802,25.8715,86.94036,1.647222,6.33728,0.025402
620.0702,599.7375,0,29.958,26.588,82.277,65.039,3329.97,24.43914,22.44958,28.62742,72.31955,1.794722,9.249918,0.056844
620.2198,599.7955,0,32.338,29.57,67.605,54.366,3738.763,23.35466,21.39856,31.05815,59.94945,1.820833,10.38545,0.084451
620.2625,599.7924,0,32.699,30.74,59.046,51.435,2281.109,22.46828,20.7795,31.43142,55.24324,1.967361,6.336414,0.097275
620.1923,599.707,0,34.645,31.579,55.774,44.124,3370.636,22.75851,20.08069,33.11648,49.21045,1.342708,9.362879,0.083263
620.3389,599.7619,0,35.694,33.136,48.702,40.912,2777.157,21.57878,19.73798,34.25856,44.81498,1.45757,7.714325,0.096724
620.4304,599.7283,0,36.609,33.855,46.252,38.255,2966.299,21.77545,19.37364,35.06499,42.01957,1.667292,8.23972,0.115716
620.2778,599.8046,0,36.181,34.704,42.665,37.798,2351.835,21.0215,19.26341,35.57251,40.11289,1.461667,6.532875,0.105782
620.1557,599.7131,0,35.88,33.955,42.583,38.339,1840.176,20.31662,18.67519,34.75937,40.44299,1.847362,5.1116,0.126776
620.3633,599.8687,0,34.566,30.82,57.32,42.654,1569.845,21.48801,19.83424,31.76336,52.63562,1.244583,4.360681,0.068008
620.4701,599.8016,0,32,30.52,54.026,48.648,1529.328,21.06289,19.57827,31.47803,50.32905,2.109929,4.248132,0.086615
620.4457,599.7497,0,30.52,28.97,55.496,52.064,1522.046,19.65707,18.92836,29.72986,53.36586,2.251179,4.227904,0.081194
620.4091,599.7589,0,28.978,27.79,64.312,55.363,1540.525,20.45305,19.13993,28.26236,60.46103,0.908472,4.279236,0.034517
620.3877,599.7955,0,27.778,26.789,70.348,64.308,1585.562,20.9691,20.43809,27.2604,67.29629,0.720417,4.404339,0.023649
620.2534,599.765,0,26.818,26.116,76.66,70.32,1625.604,21.72011,20.9574,26.46516,73.58385,1.439167,4.515566,0.03171
620.348,599.7955,0,26.106,25.426,83.398,76.621,1628.588,22.45335,21.65631,25.70737,80.14344,1.079097,4.523855,0.019505
620.2411,599.7497,0,25.447,25.126,86.238,83.39,1625.909,22.74464,22.42022,25.27672,85.02116,0.555347,4.516413,0.009539
620.1679,599.7466,0,25.224,25.014,87.798,86.234,1608.099,22.89768,22.70251,25.12514,86.95065,0.554653,4.466941,0.008504
620.3267,599.826,0,25.104,24.735,89.472,87.804,1539.42,22.98244,22.86121,24.96483,88.40599,0.129583,4.276166,0.003542
620.3113,599.9237,0,24.835,24.654,90.674,89.472,1461.922,23.21342,22.9031,24.73747,90.06306,0.035556,4.060893,0.00235
620.3389,599.7344,0,24.844,24.542,92.746,90.57,1459.714,23.41552,23.13015,24.68274,91.82735,0.318125,4.05476,0.004318
620.2411,599.9207,0,24.604,24.112,93.992,92.638,1469.376,23.40502,23.06195,24.40966,93.32877,0.076736,4.081601,0.002474
620.29,599.7497,0,24.716,24.102,94.367,93.726,1517.801,23.67826,23.08021,24.39015,94.12019,0.119444,4.216115,0.004379
620.1954,599.7619,0,27.418,24.632,93.806,82.258,2174.199,24.5963,23.55566,25.68208,89.98402,0.277917,6.039442,0.007907
620.1771,599.7802,0,28.791,26.588,84.578,72.164,2178.295,24.12466,22.68429,27.36448,78.22378,0.968333,6.050818,0.026497
620.2869,599.765,0,29.51,27.728,75.164,66.012,2291.963,23.84744,22.14807,28.62623,69.99421,1.434028,6.366565,0.049034
