data_hora,record,pressao_atm_max,pressao_atm_min,chuva_mm,temp_ar_max,temp_ar_min,umid_relat_max,umid_relat_min,rad_solar_total,temp_max,temp_min,temp_ar_media,umid_relat_media,vento_veloc,rad_solar_media,et0
'2016-08-18 12:00:00',22132,619.8993,599.7924,0,32226,30.57,41035,33.14,5268592,16.13244,13.81035,31.27614,37.15158,2.772431,14.63498,0.1863421
'2016-08-18 13:00:00',22133,620.0549,599.8718,0,33328,31.4,37451,32474,5219326,15.81825,14.03279,32.44353,34.65642,2.29139,14.49813,0.1685113
'2016-08-18 14:00:00',22134,620.3969,599.7344,0,34396,32648,34351,29.79,4853992,15.82928,13.83798,33.48443,31794,2.469098,13.48331,0.1893272
'2016-08-18 15:00:00',22135,620.0671,599.9359,0,34953,33117,32261,28.24,4436923,15.5263,13.44555,34.13952,29953,2.020208,12.32479,0.1647087
'2016-08-18 16:00:00',22136,620113,599.9237,0,34994,33806,32076,28632,3735.88,15.20183,13.85681,34.38038,30.02134,1.910208,10.37744,0.1559542
'2016-08-18 17:00:00',22137,620.1771,599.8962,0,34675,33558,32054,29852,2996302,15.18093,14.19871,34.12432,30.90735,1.915555,8.32306,0.1522588
'2016-08-18 18:00:00',22138,620.1526,599765,0,33896,32.09,34.38,31.58,2261276,15.01333,14.08384,32.93955,32.91998,1.770279,6.281323,0.1340398
'2016-08-18 19:00:00',22139,600928,599.8626,0,32148,29609,51138,33562,2051867,18.48122,14.08851,31.24752,37.37171,1.481875,5.69963,0.08436285
'2016-08-18 20:00:00',22140,620.0702,599.7375,0,29.59,28018,59529,51361,2063665,19.42963,18.51448,28.70545,56.06877,1.927569,5.732402,0.06758039
'2016-08-18 21:00:00',22141,620403,599.9207,0,28.04,26177,69246,59.62,2082172,20.12367,19.44347,27.05336,64.35944,1.989236,5.783812,0.05383672
'2016-08-18 22:00:00',22142,619.9481,599.8779,0,26177,24995,73541,69218,2088814,20.41117,19.72627,25.49761,71.7345,1.965347,5.802262,0.04086845
'2016-08-18 23:00:00',22143,620.3877,599765,0,25024,24253,82287,73572,2122943,21.07743,19.95869,24.64064,77.79491,1.96889,5.897064,0.03173327
'2016-08-19 00:00:00',22144,619.9359,599.7955,0,24273,24064,84648,82254,2176.7,21.38845,21.04696,24.12069,83.83129,1.630625,6.04639,0.02080764
'2016-08-19 01:00:00',22145,619.9054,599.7802,0,24182,24073,84.67,84324,2224339,21.42235,21.32495,24.13496,84.50281,1.74875,6.17872,0.02092615
'2016-08-19 02:00:00',22146,620348,599.8107,0,24073,23692,86042,84666,2255262,21.37413,21.09454,23.8673,85.35185,1.209028,6.264616,0.01581189
'2016-08-19 03:00:00',22147,620.3236,599765,0,23752,23421,84992,82214,2261.63,21.09454,20.23775,23.59053,83.51616,1.769027,6.282305,0.02195628
'2016-08-19 04:00:00',22148,620348,599.7802,0,23411,22.77,82552,81.07,2253899,20.24371,19.43882,23.00477,82.14478,0.4540972,6.260832,0.009771733
'2016-08-19 05:00:00',22149,600.9249,599.7527,0,23.05,22.77,81072,75.99,2263924,19.44896,18.4856,22.88919,78.3048,0.8800001,6.288677,0.01765097
'2016-08-19 06:00:00',22150,619.9084,599.7344,0,23.03,22.89,75958,73792,2262203,18.48734,18.03878,22.95782,74639,1.6575,6.283897,0.03083485
'2016-08-19 07:00:00',22151,620.2839,599.7955,0,23.07,22.54,74875,73434,2450856,18.12271,17.86171,22.75904,74.23931,1.407917,6.807935,0.03793759
'2016-08-19 08:00:00',22152,619.9146,599.7344,0,25376,23.06,73582,65156,3250813,18.53499,18.00417,23.98528,70.06739,1.673056,9.030037,0.05245717
'2016-08-19 09:00:00',22153,620.2869,599.7924,0,27598,25104,65433,54964,3939307,18585,17.63132,26.35648,60.50706,2.035069,10.94252,0.08394555
'2016-08-19 10:00:00',22154,620.0183,599.8412,0,29439,26968,57027,48369,4500022,18.37202,17.29521,28.09717,53.37491,2.541527,12.50006,0.1222228
'2016-08-19 11:00:00',22155,619884,599.7802,0,31.15,28.59,51775,43203,4998646,18.12024,16.88237,30.02191,46.96986,2.029654,13.88513,0.1200298
'2016-08-19 12:00:00',22156,620.3969,599.7344,0,32296,29.52,48459,39723,5372181,17.85949,16.24684,31.18314,42.96133,2.311319,14.92273,0.1465624
'2016-08-19 13:00:00',22157,620.0916,599.7802,0,33308,31.49,43438,36639,5367727,18.07906,16.06059,32.28768,39.57589,2.369375,14.91035,0.1608999
'2016-08-19 14:00:00',22158,620116,599.7833,0,34525,32457,39393,32968,5131433,17.56207,15.44923,33.31166,36.19007,2.12139,14.25398,0.1566194
'2016-08-19 15:00:00',22159,619.9512,599.9268,0,34875,33207,37371,31954,4565418,17.68921,15.05619,34.11104,34.15187,2.19368,12.68172,0.1668631
'2016-08-19 16:00:00',22160,620.0794,599.9207,0,35253,32699,37.23,31828,3663336,17.31552,15.12403,34.16563,33.73517,2.011528,10.17593,0.1541601
'2016-08-19 17:00:00',22161,620.1496,599.8168,0,34505,32488,36439,32703,2813926,16.84948,15.28696,33.37083,34.73293,1.941735,7.816461,0.143759
'2016-08-19 18:00:00',22162,620.1282,599.6917,0,33616,31.72,37.15,34038,2325.23,16.0688,15.11685,32.67565,35.45729,1.99618,6.458973,0.1430176
'2016-08-19 19:00:00',22163,600.9371,599.8412,0,31.74,29.66,43513,37049,2061031,16.74205,15.22935,30.65167,41.79016,2.248612,5.725087,0.1039487
'2016-08-19 20:00:00',22164,620.0549,599.7253,0,29689,28188,45625,43266,2061548,15.92507,15.29686,28.90658,44.45386,1.410278,5.726522,0.06847323
'2016-08-19 21:00:00',22165,619.9695,599.7344,0,28249,27027,48888,45.39,2059617,15.51152,15.25247,27.58203,47.22013,1.124375,5.721158,0.05335402
'2016-08-19 22:00:00',22166,619.9695,599.7497,0,27027,25634,54507,48.05,2053173,15.81194,14.98534,26.43157,50.03379,1.372014,5.703259,0.05690637
