record,pressao_atm_max,pressao_atm_min,chuva_mm,temp_ar_max,temp_ar_min,umid_relat_max,umid_relat_min,rad_solar_total,temp_max,temp_min,temp_ar_media,umid_relat_media,vento_veloc,rad_solar_media,et0
23009,620.372,599.945,0,24.414,23.932,84.363,81.348,2044.1,21.1695,20.9184,24.1224,82.8651,1.4491,5.67805,0.0202823
23010,620.351,599.725,0,23.922,23.462,86.184,84.242,2032.66,21.193,21.0039,23.6771,85.4679,0.866806,5.64628,0.0124927
23011,620.33,599.75,0,23.492,22.92,88.25,86.123,1980.77,21.0934,20.8577,23.2684,87.0117,0.566181,5.50214,0.00862979
23013,600.885,599.817,0,23.1,22.759,87.976,85.466,1973.27,20.8781,20.4146,22.9488,86.3988,1.28104,5.4813,0.0147521
23014,600.165,599.734,0,22.8,22.399,88.207,86.664,1951.06,20.5336,20.3525,22.5794,87.6245,0.263958,5.41961,0.00536891
23015,620.275,599.78,0,23.452,22.409,88.266,83.378,2065.76,20.6325,20.3724,22.9784,86.0679,0.742847,5.73822,0.0143928
23016,620.305,599.811,0,25.556,23.43,83.472,73.191,2822.33,20.7911,20.1131,24.5245,78.0372,1.99924,7.8398,0.0456329
23017,620.311,599.731,0,27.678,25.255,74.59,63.874,2993.03,20.5179,19.6946,26.0855,69.9009,1.95563,8.31398,0.0617176
23018,619.93,599.795,0,29.75,26.998,65.457,54.326,3908.18,20.4993,18.9642,28.5415,59.1749,1.89743,10.856,0.0853096
23019,619.908,599.765,0,32.148,29.01,56.16,43.875,4488.66,20.1535,18.0268,30.3299,51.0291,1.95368,12.4685,0.107798
23020,620.07,599.673,0,33.577,31.07,49.859,39.32,4665.88,19.7469,16.9981,32.0737,43.4678,1.87708,12.9608,0.122984
23021,620.397,599.847,0,33.916,31.678,44.429,37.242,4142.11,19.1071,16.7981,32.6659,40.5433,1.81889,11.5059,0.125617
23022,620.116,599.844,0,34.953,32.199,40.978,33.882,3894.89,18.2793,16.3297,33.4764,37.5573,1.79618,10.8191,0.131266
23023,620.079,599.835,0,35.453,33.357,37.65,32.072,3611.77,18.2206,15.6573,34.6104,34.0575,1.68236,10.0327,0.13229
23024,619.957,599.756,0,35.761,34.246,34.734,30.607,2665.98,16.8504,15.2707,34.8519,32.1825,2.0341,7.40551,0.158706
23025,620.006,599.768,0,35.414,34.205,32.929,30.048,2263.78,15.9932,14.99,34.8476,31.3511,1.43549,6.28828,0.117193
23026,619.963,599.747,0,34.447,32.508,35.099,31.218,1862.52,15.2658,14.7098,33.4971,33.0005,1.06222,5.17367,0.0850421
23027,619.966,599.765,0,32.518,29.798,53.154,34.958,1791.69,19.2555,14.8096,31.4262,38.2846,0.774514,4.97691,0.0499091
23028,619.997,599.841,0,29.779,26.998,62.861,53.247,1878.44,19.6008,19.2557,28.1607,59.2891,2.96813,5.2179,0.0808573
23029,600.937,599.698,0,26.998,25.566,68.445,62.83,1982.53,19.4584,19.2956,26.1546,66.2348,2.25472,5.50703,0.0537752
23030,620.433,599.78,0,25.556,24.806,73.004,68.41,2023.23,19.6675,19.25,25.1871,70.1757,1.93979,5.6201,0.0422256
23031,620.07,599.857,0,24.825,24.182,80.216,72.976,2008,20.6162,19.6543,24.4962,76.3808,1.30146,5.57778,0.0255986
23032,620.348,599.734,0,24.182,23.612,84.656,80.188,2017.53,20.9187,20.5525,23.8435,82.9012,1.03361,5.60426,0.0161405
23033,619.921,599.802,0,23.632,23.392,86.205,84.625,2019.67,21.0874,20.8816,23.5037,85.6683,1.30181,5.61019,0.0158788
23034,619.905,599.915,0,23.492,23.312,86.568,85.873,2033.7,21.0462,20.928,23.4195,86.1424,1.4534,5.64917,0.0164616
23035,620.336,599.887,0,23.371,23.041,87.781,86.46,2038.87,21.0217,20.8948,23.1987,87.1682,1.56667,5.66354,0.015982
23038,620.287,599.799,0,22.619,22.318,87.964,85.348,1935.93,20.2804,19.9502,22.5044,86.1507,0.722292,5.37758,0.0103185
23039,620.321,599.826,0,23.292,22.418,86.148,82.628,2232.97,20.2722,19.9717,22.8022,84.8077,1.71979,6.2027,0.0277942
23040,620.324,599.783,0,25.114,23.171,82.582,72.43,2804.98,20.316,19.6321,24.0226,78.2233,2.14389,7.79161,0.0472045
23041,620.372,599.713,0,27.708,25.134,73.283,62.034,3268.01,20.33,19.2352,26.0721,68.1812,1.86375,9.07781,0.0629613
23042,620.363,599.771,0,29.708,26.918,65.011,53.072,3929.23,20.0885,18.709,28.3238,58.7635,1.63007,10.9145,0.0758977
23043,619.957,599.753,0,31.26,28.689,57.07,47.364,4360.04,19.9888,18.5056,30.0586,51.8571,1.98792,12.1112,0.106869
23044,620.079,599.774,0,32.558,30.701,50.223,42.546,4562.87,19.7451,17.8585,31.6399,45.7337,1.94097,12.6746,0.120681
23045,620.07,599.835,0,33.935,31.279,47.083,38.545,4504.47,19.594,17.5103,32.9748,41.5519,1.87104,12.5124,0.128018
